Time,Eval,TimeUsed,Moves,Board
129,-0.37,"(82.5, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP1P1/3P1B1P/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 11
130,-0.37,"(82.5, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP1P1/3P1B1P/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 11
131,-0.37,"(82.5, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP1P1/3P1B1P/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 11
132,-0.37,"(82.5, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP1P1/3P1B1P/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 11
133,-0.37,"(82.5, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP1P1/3P1B1P/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 11
134,-0.37,"(82.5, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP1P1/3P1B1P/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 11
135,-0.37,"(82.5, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP1P1/3P1B1P/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 11
136,-0.37,"(82.5, 38.3)",[],r2qkb1r/pp1nnpp1/2p1p2p/3pP1P1/3P1B1P/3Q1N2/PPPN1P2/R3K2R b KQkq - 0 11
137,0.38,"(82.5, 53.8)",['e7f5'],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
138,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
139,0.38,"(82.5, 53.8)",[],r2qkb1r/pp1n1pp1/2p1p2p/3pPnP1/3P1B1P/3Q1N2/PPPN1P2/R3K2R w KQkq - 1 12
